decision_idx,agent_x,agent_y,chosen_idx,subgoal_x,subgoal_y,R,k,termination,q_selected,num_valid,timestamp
936,-0.6149308232005222,3.3353647819178267,6,15.0,15.0,2.2940848340825815,10,MAX_STEPS,11.358044624328613,5,2629673
946,1.359649432721925,1.8876085190689103,2,7.745417792085655,-4.184520016942785,1.6461652747133801,10,MAX_STEPS,11.415160179138184,7,2629673
956,2.6307826003840544,2.8272110798734724,4,8.454627544558683,7.644633529205729,-2.2226428451846685,10,MAX_STEPS,11.469722747802734,7,2629673
966,0.1438335670454042,2.7606217349542193,5,-3.7038243653573746,2.9032488407907437,0.5873938265480958,10,MAX_STEPS,,7,2629673
976,-2.150224631635387,1.7848275588013742,0,-3.899965422304825,0.9352939631358975,2.538978995538397,10,SUBGOAL_REACHED,,7,2629673
986,-0.1525886951406706,2.873708440781105,3,9.71735803852219,8.12265168862908,2.277227180781564,10,MAX_STEPS,,5,2629673
996,1.8176226348908338,1.4025667769769252,2,7.745417792085655,-4.184520016942785,1.6110214774274658,10,MAX_STEPS,,7,2629673
1006,3.7133913409033386,2.9340748368740477,6,15.0,15.0,2.504674550289662,10,MAX_STEPS,11.602991104125977,7,2629673
1016,1.4419652752875696,2.5575954864681663,0,-3.899965422304825,0.9352939631358975,0.33094696335623786,10,MAX_STEPS,11.640658378601074,7,2629673
1026,-1.051054584906159,2.6761546924875526,5,-3.7038243653573746,2.9032488407907437,0.551708985766728,10,MAX_STEPS,,7,2629673
1036,0.6079654002365327,4.307891641558949,1,5.719643134462145,7.962250548245428,2.3399308506405654,10,MAX_STEPS,11.690912246704102,7,2629673
1046,2.641579843396141,5.7619934253961915,1,5.719643134462145,7.962250548245428,2.629263270815123,10,MAX_STEPS,11.718902587890625,7,2629673
1056,4.002015810397245,3.758414099649573,2,7.745417792085655,-4.184520016942785,1.1994431074108125,10,MAX_STEPS,11.754509925842285,7,2629673
1066,1.8239740109869729,2.6955187762081207,0,-3.899965422304825,0.9352939631358975,0.23610441345136252,10,MAX_STEPS,11.787181854248047,7,2629673
1076,3.3489410153656927,4.409727747003411,6,15.0,15.0,2.3044226649472757,10,MAX_STEPS,,7,2629673
