mihir@mihir-jetson:~/Data/DTQN/fov$ python train_dtqn.py 500 --eval-every 25 --save-every 10 --video-every 25
[ep  153/500] OK   | dec= 99 R= +49.08 gdist=  2.0 | eps=0.1500 buf=  9747 upd=  9747 | 7.5s
[ep  154/500] OK   | dec= 15 R= +64.80 gdist=  1.9 | eps=0.1500 buf=  9762 upd=  9762 | 1.1s
[ep  155/500] OK   | dec= 41 R= +31.59 gdist=  1.8 | eps=0.1500 buf=  9803 upd=  9803 | 3.1s
[ep  156/500] OK   | dec= 22 R= +52.17 gdist=  1.9 | eps=0.1500 buf=  9825 upd=  9825 | 1.7s
[ep  157/500] OK   | dec= 35 R= +94.24 gdist=  2.0 | eps=0.1500 buf=  9860 upd=  9860 | 2.6s
[ep  158/500] OK   | dec= 28 R= +52.79 gdist=  1.8 | eps=0.1500 buf=  9888 upd=  9888 | 2.2s
[ep  159/500] OK   | dec= 30 R= +71.21 gdist=  1.9 | eps=0.1500 buf=  9918 upd=  9918 | 2.5s
[ep  160/500] OK   | dec= 61 R= +42.17 gdist=  1.9 | eps=0.1500 buf=  9979 upd=  9979 | 5.2s
[ep  161/500] OK   | dec= 39 R= +54.07 gdist=  1.9 | eps=0.1500 buf= 10018 upd= 10018 | 3.4s
[ep  162/500] OK   | dec= 66 R= +85.09 gdist=  1.8 | eps=0.1500 buf= 10084 upd= 10084 | 5.5s
[ep  163/500] OK   | dec= 22 R= +84.61 gdist=  1.8 | eps=0.1500 buf= 10106 upd= 10106 | 1.8s
[ep  164/500] OK   | dec= 21 R= +88.80 gdist=  2.0 | eps=0.1500 buf= 10127 upd= 10127 | 1.7s
[ep  165/500] OK   | dec= 48 R=+155.92 gdist=  1.8 | eps=0.1500 buf= 10175 upd= 10175 | 4.0s
[ep  166/500] OK   | dec= 82 R=+133.10 gdist=  2.0 | eps=0.1500 buf= 10257 upd= 10257 | 6.6s
[ep  167/500] OK   | dec= 78 R= +34.37 gdist=  1.8 | eps=0.1500 buf= 10335 upd= 10335 | 5.8s
[ep  168/500] OK   | dec= 93 R=+131.14 gdist=  1.9 | eps=0.1500 buf= 10428 upd= 10428 | 6.9s
[ep  169/500] OK   | dec= 15 R= +69.14 gdist=  2.0 | eps=0.1500 buf= 10443 upd= 10443 | 1.0s
[ep  170/500] FAIL | dec=100 R=+101.30 gdist= 16.7 | eps=0.1500 buf= 10543 upd= 10543 | 7.5s
[ep  171/500] FAIL | dec=100 R= +64.42 gdist= 16.2 | eps=0.1500 buf= 10643 upd= 10643 | 7.5s
[ep  172/500] OK   | dec= 86 R=+134.29 gdist=  1.9 | eps=0.1500 buf= 10729 upd= 10729 | 6.7s
[ep  173/500] FAIL | dec=100 R= +33.40 gdist= 17.6 | eps=0.1500 buf= 10829 upd= 10829 | 7.4s
[ep  174/500] FAIL | dec=100 R=+203.38 gdist= 26.1 | eps=0.1500 buf= 10929 upd= 10929 | 7.2s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep  175/500] FAIL | dec=100 R= -88.19 gdist= 14.0 | eps=0.1500 buf= 11029 upd= 11029 | 205.6s [video saved]
  >>> Last 25 eps: success=76.00%  avg_R=+76.87  total_time=1732s
[ep  176/500] OK   | dec= 31 R= +69.27 gdist=  2.0 | eps=0.1500 buf= 11060 upd= 11060 | 2.4s
[ep  177/500] OK   | dec= 31 R= +65.58 gdist=  1.9 | eps=0.1500 buf= 11091 upd= 11091 | 2.2s
[ep  178/500] OK   | dec= 64 R=+120.75 gdist=  1.9 | eps=0.1500 buf= 11155 upd= 11155 | 5.0s
[ep  179/500] OK   | dec= 38 R= +42.07 gdist=  1.8 | eps=0.1500 buf= 11193 upd= 11193 | 2.8s
[ep  180/500] FAIL | dec=100 R=+148.50 gdist= 11.1 | eps=0.1500 buf= 11293 upd= 11293 | 7.5s
[ep  181/500] OK   | dec= 71 R=+116.76 gdist=  1.8 | eps=0.1500 buf= 11364 upd= 11364 | 5.3s
[ep  182/500] OK   | dec= 76 R=+120.33 gdist=  1.8 | eps=0.1500 buf= 11440 upd= 11440 | 5.7s
[ep  183/500] OK   | dec= 28 R= +86.26 gdist=  2.0 | eps=0.1500 buf= 11468 upd= 11468 | 2.1s
[ep  184/500] OK   | dec= 57 R= +66.02 gdist=  1.9 | eps=0.1500 buf= 11525 upd= 11525 | 4.3s
[ep  185/500] OK   | dec= 78 R=+136.61 gdist=  1.9 | eps=0.1500 buf= 11603 upd= 11603 | 5.9s
[ep  186/500] FAIL | dec=100 R= -36.57 gdist= 25.5 | eps=0.1500 buf= 11703 upd= 11703 | 7.6s
[ep  187/500] FAIL | dec=100 R= -60.29 gdist= 13.5 | eps=0.1500 buf= 11803 upd= 11803 | 7.7s
[ep  188/500] OK   | dec= 34 R= +85.88 gdist=  1.8 | eps=0.1500 buf= 11837 upd= 11837 | 2.5s
[ep  189/500] OK   | dec= 33 R= +78.66 gdist=  2.0 | eps=0.1500 buf= 11870 upd= 11870 | 2.4s
[ep  190/500] OK   | dec= 52 R=+122.36 gdist=  1.8 | eps=0.1500 buf= 11922 upd= 11922 | 3.9s
[ep  191/500] OK   | dec= 23 R= +72.66 gdist=  2.0 | eps=0.1500 buf= 11945 upd= 11945 | 1.8s
[ep  192/500] OK   | dec= 34 R= +70.89 gdist=  1.9 | eps=0.1500 buf= 11979 upd= 11979 | 2.6s
[ep  193/500] OK   | dec= 32 R= +56.43 gdist=  1.9 | eps=0.1500 buf= 12011 upd= 12011 | 2.4s
[ep  194/500] OK   | dec= 33 R= +81.12 gdist=  2.0 | eps=0.1500 buf= 12044 upd= 12044 | 2.5s
[ep  195/500] FAIL | dec=100 R= +33.68 gdist= 27.8 | eps=0.1500 buf= 12144 upd= 12144 | 7.3s
[ep  196/500] OK   | dec= 36 R=+107.51 gdist=  1.9 | eps=0.1500 buf= 12180 upd= 12180 | 2.7s
[ep  197/500] OK   | dec= 28 R= +87.09 gdist=  1.8 | eps=0.1500 buf= 12208 upd= 12208 | 2.1s
[ep  198/500] OK   | dec= 62 R= +99.21 gdist=  1.9 | eps=0.1500 buf= 12270 upd= 12270 | 4.8s
[ep  199/500] OK   | dec= 20 R= +81.49 gdist=  1.8 | eps=0.1500 buf= 12290 upd= 12290 | 1.5s
MovieWriter ffmpeg unavailable; trying to use <class 'matplotlib.animation.PillowWriter'> instead.
[ep  200/500] OK   | dec= 28 R=+108.09 gdist=  1.9 | eps=0.1500 buf= 12318 upd= 12318 | 53.0s [video saved]
  >>> Last 25 eps: success=84.00%  avg_R=+78.41  total_time=1880s
[ep  201/500] OK   | dec= 40 R=+133.48 gdist=  1.9 | eps=0.1500 buf= 12358 upd= 12358 | 3.4s
[ep  202/500] FAIL | dec=100 R= +35.30 gdist=  6.5 | eps=0.1500 buf= 12458 upd= 12458 | 8.6s
